code,filename,colors,patterns,uses,styles,image
I-306,I-306.jpg,"red, grey, orange",solid,shirt,"shirt, formal, light",images/I-306.jpg
I-309,I-309.jpg,"charcoal, grey",solid,shirt,"shirt, formal, light, dark",images/I-309.jpg
I-310,I-310.jpg,grey,solid,shirt,"shirt, formal, light",images/I-310.jpg
I-311,I-311.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-311.jpg
I-313,I-313.jpg,"charcoal, grey, green",solid,shirt,"shirt, formal, light, dark",images/I-313.jpg
I-314,I-314.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-314.jpg
I-315,I-315.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-315.jpg
I-316,I-316.jpg,"grey, green, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-316.jpg
I-317,I-317.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-317.jpg
I-318,I-318.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-318.jpg
I-320,I-320.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-320.jpg
I-321,I-321.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-321.jpg
I-322,I-322.jpg,"grey, charcoal, cream",stripes,shirt,"shirt, formal, light, dark",images/I-322.jpg
I-323,I-323.jpg,"purple, grey",solid,shirt,"shirt, formal, light",images/I-323.jpg
I-324,I-324.jpg,"blue, grey",texture,shirt,"shirt, casual, light",images/I-324.jpg
I-325,I-325.jpg,"blue, grey",texture,shirt,"shirt, casual, light",images/I-325.jpg
I-326,I-326.jpg,"grey, blue",solid,shirt,"shirt, formal, light",images/I-326.jpg
I-329,I-329.jpg,grey,solid,shirt,"shirt, formal, light",images/I-329.jpg
I-333,I-333.jpg,"blue, grey",texture,shirt,"shirt, casual, light",images/I-333.jpg
I-334,I-334.jpg,"black, grey",texture,shirt,"shirt, casual, light, dark",images/I-334.jpg
I-336,I-336.jpg,"grey, charcoal, black",checks,shirt,"shirt, formal, light, dark",images/I-336.jpg
I-337,I-337.jpg,"teal, grey, navy",stripes,shirt,"shirt, formal, light, dark",images/I-337.jpg
I-338,I-338.jpg,"grey, green, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-338.jpg
I-339,I-339.jpg,"blue, grey, teal",stripes,shirt,"shirt, formal, light",images/I-339.jpg
I-340,I-340.jpg,"black, grey, navy",stripes,shirt,"shirt, formal, light, dark",images/I-340.jpg
I-341,I-341.jpg,"grey, blue",solid,shirt,"shirt, formal, light",images/I-341.jpg
I-342,I-342.jpg,grey,solid,shirt,"shirt, formal, light",images/I-342.jpg
I-343,I-343.jpg,grey,solid,shirt,"shirt, formal, light",images/I-343.jpg
I-346,I-346.jpg,grey,solid,shirt,"shirt, formal, light",images/I-346.jpg
I-353,I-353.jpg,grey,solid,shirt,"shirt, formal, light",images/I-353.jpg
I-354,I-354.jpg,grey,solid,shirt,"shirt, formal, light",images/I-354.jpg
I-355,I-355.jpg,grey,solid,shirt,"shirt, formal, light",images/I-355.jpg
I-356,I-356.jpg,grey,solid,shirt,"shirt, formal, light",images/I-356.jpg
I-357,I-357.jpg,grey,solid,shirt,"shirt, formal, light",images/I-357.jpg
I-358,I-358.jpg,grey,solid,shirt,"shirt, formal, light",images/I-358.jpg
I-359,I-359.jpg,grey,solid,shirt,"shirt, formal, light",images/I-359.jpg
I-360,I-360.jpg,grey,solid,shirt,"shirt, formal, light",images/I-360.jpg
I-361,I-361.jpg,grey,solid,shirt,"shirt, formal, light",images/I-361.jpg
I-362,I-362.jpg,grey,solid,shirt,"shirt, formal, light",images/I-362.jpg
I-363,I-363.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-363.jpg
I-364,I-364.jpg,"blue, white",solid,shirt,"shirt, formal, light",images/I-364.jpg
I-365,I-365.jpg,"charcoal, blue",solid,shirt,"shirt, formal, dark",images/I-365.jpg
I-366,I-366.jpg,"charcoal, grey, white",texture,shirt,"shirt, casual, light, dark",images/I-366.jpg
I-367,I-367.jpg,grey,solid,shirt,"shirt, formal, light",images/I-367.jpg
I-368,I-368.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-368.jpg
I-369,I-369.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-369.jpg
I-370,I-370.jpg,grey,solid,shirt,"shirt, formal, light",images/I-370.jpg
I-371,I-371.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-371.jpg
I-372,I-372.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-372.jpg
I-373,I-373.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-373.jpg
I-374,I-374.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-374.jpg
I-375,I-375.jpg,"grey, cream, white",solid,shirt,"shirt, formal, light",images/I-375.jpg
I-376,I-376.jpg,"grey, cream, white",solid,shirt,"shirt, formal, light",images/I-376.jpg
I-377,I-377.jpg,"grey, white",checks,shirt,"shirt, formal, light",images/I-377.jpg
I-378,I-378.jpg,"grey, charcoal, white",checks,shirt,"shirt, formal, light, dark",images/I-378.jpg
I-379,I-379.jpg,"grey, white",stripes,shirt,"shirt, formal, light",images/I-379.jpg
I-380,I-380.jpg,"grey, white",stripes,shirt,"shirt, formal, light",images/I-380.jpg
I-381,I-381.jpg,grey,solid,shirt,"shirt, formal, light",images/I-381.jpg
I-382,I-382.jpg,grey,solid,shirt,"shirt, formal, light",images/I-382.jpg
I-383,I-383.jpg,grey,solid,shirt,"shirt, formal, light",images/I-383.jpg
I-384,I-384.jpg,grey,solid,shirt,"shirt, formal, light",images/I-384.jpg
I-385,I-385.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-385.jpg
I-386,I-386.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-386.jpg
I-387,I-387.jpg,"grey, white",solid,shirt,"shirt, formal, light",images/I-387.jpg
I-388,I-388.jpg,grey,solid,shirt,"shirt, formal, light",images/I-388.jpg
I-389,I-389.jpg,"white, grey, blue",checks,shirt,"shirt, formal, light",images/I-389.jpg
I-390,I-390.jpg,"grey, white, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-390.jpg
I-391,I-391.jpg,"grey, white",stripes,shirt,"shirt, formal, light",images/I-391.jpg
I-392,I-392.jpg,"grey, charcoal, white",stripes,shirt,"shirt, formal, light, dark",images/I-392.jpg
I-393,I-393.jpg,"blue, grey, white",checks,shirt,"shirt, formal, light",images/I-393.jpg
I-394,I-394.jpg,"grey, beige, white",checks,shirt,"shirt, formal, light",images/I-394.jpg
I-395,I-395.jpg,"white, grey",stripes,shirt,"shirt, formal, light",images/I-395.jpg
I-396,I-396.jpg,"grey, beige, white",stripes,shirt,"shirt, formal, light",images/I-396.jpg
I-397,I-397.jpg,blue,solid,shirt,"shirt, formal",images/I-397.jpg
I-398,I-398.jpg,"grey, blue",solid,shirt,"shirt, formal, light",images/I-398.jpg
I-399,I-399.jpg,"grey, beige, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-399.jpg
I-400,I-400.jpg,"grey, charcoal, blue",solid,shirt,"shirt, formal, light, dark",images/I-400.jpg
I-401,I-401.jpg,"grey, beige, cream",solid,shirt,"shirt, formal, light",images/I-401.jpg
I-402,I-402.jpg,grey,solid,shirt,"shirt, formal, light",images/I-402.jpg
I-403,I-403.jpg,"grey, blue, teal",solid,shirt,"shirt, formal, light",images/I-403.jpg
I-404,I-404.jpg,"grey, beige, cream",checks,shirt,"shirt, formal, light",images/I-404.jpg
I-405,I-405.jpg,"grey, blue",solid,shirt,"shirt, formal, light",images/I-405.jpg
I-406,I-406.jpg,"grey, beige",solid,shirt,"shirt, formal, light",images/I-406.jpg
I-407,I-407.jpg,"charcoal, grey",checks,shirt,"shirt, formal, light, dark",images/I-407.jpg
I-408,I-408.jpg,"grey, charcoal",stripes,shirt,"shirt, formal, light, dark",images/I-408.jpg
I-409,I-409.jpg,"blue, grey",solid,shirt,"shirt, formal, light",images/I-409.jpg
I-410,I-410.jpg,"charcoal, grey",solid,shirt,"shirt, formal, light, dark",images/I-410.jpg
I-411,I-411.jpg,"blue, grey, teal",solid,shirt,"shirt, formal, light",images/I-411.jpg
I-412,I-412.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-412.jpg
I-413,I-413.jpg,grey,solid,shirt,"shirt, formal, light",images/I-413.jpg
I-414,I-414.jpg,"charcoal, grey",solid,shirt,"shirt, formal, light, dark",images/I-414.jpg
I-415,I-415.jpg,grey,solid,shirt,"shirt, formal, light",images/I-415.jpg
I-416,I-416.jpg,"blue, teal",solid,shirt,"shirt, formal",images/I-416.jpg
I-417,I-417.jpg,grey,solid,shirt,"shirt, formal, light",images/I-417.jpg
I-418,I-418.jpg,grey,solid,shirt,"shirt, formal, light",images/I-418.jpg
I-419,I-419.jpg,grey,solid,shirt,"shirt, formal, light",images/I-419.jpg
I-420,I-420.jpg,grey,solid,shirt,"shirt, formal, light",images/I-420.jpg
I-421,I-421.jpg,grey,solid,shirt,"shirt, formal, light",images/I-421.jpg
I-422,I-422.jpg,"charcoal, grey",solid,shirt,"shirt, formal, light, dark",images/I-422.jpg
I-423,I-423.jpg,blue,solid,shirt,"shirt, formal",images/I-423.jpg
I-424,I-424.jpg,"blue, teal",solid,shirt,"shirt, formal",images/I-424.jpg
I-425,I-425.jpg,"grey, cream",solid,shirt,"shirt, formal, light",images/I-425.jpg
I-426,I-426.jpg,grey,solid,shirt,"shirt, formal, light",images/I-426.jpg
I-427,I-427.jpg,"charcoal, grey",solid,shirt,"shirt, formal, light, dark",images/I-427.jpg
I-428,I-428.jpg,"blue, navy, charcoal",texture,shirt,"shirt, casual, dark",images/I-428.jpg
I-429,I-429.jpg,grey,solid,shirt,"shirt, formal, light",images/I-429.jpg
I-430,I-430.jpg,"beige, grey, charcoal",stripes,shirt,"shirt, formal, light, dark",images/I-430.jpg
I-431,I-431.jpg,"charcoal, grey",stripes,shirt,"shirt, formal, light, dark",images/I-431.jpg
I-432,I-432.jpg,"blue, grey",checks,shirt,"shirt, formal, light",images/I-432.jpg
I-433,I-433.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-433.jpg
I-434,I-434.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-434.jpg
I-435,I-435.jpg,"blue, grey",solid,shirt,"shirt, formal, light",images/I-435.jpg
I-436,I-436.jpg,"grey, beige, charcoal",checks,shirt,"shirt, formal, light, dark",images/I-436.jpg
I-437,I-437.jpg,"charcoal, grey",checks,shirt,"shirt, formal, light, dark",images/I-437.jpg
I-438,I-438.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-438.jpg
I-439,I-439.jpg,"grey, charcoal",stripes,shirt,"shirt, formal, light, dark",images/I-439.jpg
I-440,I-440.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-440.jpg
I-441,I-441.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-441.jpg
I-442,I-442.jpg,"grey, charcoal",printed,shirt,"shirt, casual, light, dark",images/I-442.jpg
I-443,I-443.jpg,"grey, charcoal",printed,shirt,"shirt, casual, light, dark",images/I-443.jpg
I-444,I-444.jpg,black,texture,shirt,"shirt, casual, dark",images/I-444.jpg
I-445,I-445.jpg,black,texture,shirt,"shirt, casual, dark",images/I-445.jpg
I-446,I-446.jpg,grey,solid,shirt,"shirt, formal, light",images/I-446.jpg
I-447,I-447.jpg,grey,solid,shirt,"shirt, formal, light",images/I-447.jpg
I-448,I-448.jpg,"grey, blue, yellow",stripes,shirt,"shirt, formal, light",images/I-448.jpg
I-449,I-449.jpg,"charcoal, grey, cream",checks,shirt,"shirt, formal, light, dark",images/I-449.jpg
I-450,I-450.jpg,"charcoal, grey, blue",solid,shirt,"shirt, formal, light, dark",images/I-450.jpg
I-451,I-451.jpg,"grey, green",solid,shirt,"shirt, formal, light",images/I-451.jpg
I-452,I-452.jpg,grey,texture,shirt,"shirt, casual, light",images/I-452.jpg
I-453,I-453.jpg,"grey, charcoal",solid,shirt,"shirt, formal, light, dark",images/I-453.jpg
I-454,I-454.jpg,grey,stripes,shirt,"shirt, formal, light",images/I-454.jpg
I-455,I-455.jpg,"black, grey",texture,shirt,"shirt, casual, light, dark",images/I-455.jpg
I-456,I-456.jpg,"black, grey",texture,shirt,"shirt, casual, light, dark",images/I-456.jpg
I-457,I-457.jpg,"grey, teal",solid,shirt,"shirt, formal, light",images/I-457.jpg
I-458,I-458.jpg,"grey, pink",solid,shirt,"shirt, formal, light",images/I-458.jpg
I-459,I-459.jpg,"blue, grey",texture,shirt,"shirt, casual, light",images/I-459.jpg
I-460,I-460.jpg,grey,solid,shirt,"shirt, formal, light",images/I-460.jpg
I-461,I-461.jpg,"blue, grey",solid,shirt,"shirt, formal, light",images/I-461.jpg
I-462,I-462.jpg,grey,solid,shirt,"shirt, formal, light",images/I-462.jpg
PI-502,PI-502.jpg,"cream, grey",solid,shirt,"shirt, premium, formal, light",images/PI-502.jpg
PI-503,PI-503.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-503.jpg
PI-504,PI-504.jpg,"grey, charcoal",solid,shirt,"shirt, premium, formal, light, dark",images/PI-504.jpg
PI-506,PI-506.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-506.jpg
PI-509,PI-509.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-509.jpg
PI-514,PI-514.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-514.jpg
PI-515,PI-515.jpg,"grey, navy",texture,shirt,"shirt, premium, casual, light, dark",images/PI-515.jpg
PI-517,PI-517.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-517.jpg
PI-522,PI-522.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-522.jpg
PI-524,PI-524.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-524.jpg
PI-526,PI-526.jpg,"blue, grey",texture,shirt,"shirt, premium, casual, light",images/PI-526.jpg
PI-528,PI-528.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-528.jpg
PI-529,PI-529.jpg,"blue, grey",solid,shirt,"shirt, premium, formal, light",images/PI-529.jpg
PI-530,PI-530.jpg,grey,solid,shirt,"shirt, premium, formal, light",images/PI-530.jpg
PI-531,PI-531.jpg,grey,stripes,shirt,"shirt, premium, formal, light",images/PI-531.jpg
